Date,zscore
2022-11-16,-0.13276745187806233
2022-11-17,-0.1578014065408609
2022-11-18,-0.5500461125641949
2022-11-21,-0.13384956818455643
2022-11-22,-0.11323734140013758
2022-11-23,0.14546095664880257
2022-11-24,0.16900171822500162
2022-11-25,0.3610667632980042
2022-11-28,0.13127274777410367
2022-11-29,0.4196507106946769
2022-11-30,-0.200358592318245
2022-12-01,-0.5733750173615078
2022-12-02,-1.1132757852850192
2022-12-05,-1.8480531571966692
2022-12-06,-1.2182669633765386
2022-12-07,-1.4058615516043866
2022-12-08,-1.3406162504910821
2022-12-09,-1.4806529985244568
2022-12-12,-0.263065169211791
2022-12-13,-0.9927762876648175
2022-12-14,-0.7058938258543079
2022-12-15,-0.6113922819907761
2022-12-16,-0.902075924812938
2022-12-19,-0.570299471788418
2022-12-20,-0.1069453633821589
2022-12-21,-0.27297375037105404
2022-12-22,-1.0328359422220925
2022-12-23,-0.7266029420796651
2022-12-26,-0.7052422066018819
2022-12-27,-0.42195702331945084
